Brand,Name,PID,Image URL,Page URL,Time Rated,Rating,Price,Market Segment
Azzaro,Chrome EAU DE TOILETTE,730,https://media.parfumo.com/perfumes/2c/2cab35-chrome-eau-de-toilette-azzaro_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Azzaro/Chrome_Eau_de_Toilette,20 hours ago,5.5,40,Designer
Dior,Fahrenheit EAU DE TOILETTE,174,https://media.parfumo.com/perfumes/1a/1ade25-fahrenheit-eau-de-toilette-dior_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dior/Fahrenheit_Eau_de_Toilette,5 days ago,5.5,48,Designer
Calvin Klein,CK One EAU DE TOILETTE,133,https://media.parfumo.com/perfumes/10/104003-ck-one-eau-de-toilette-calvin-klein_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Calvin_Klein/CK_One,20 hours ago,5.5,15,Designer
Lattafa,Musamam Black Intense,363025,https://media.parfumo.com/perfumes/82/82f978_musamam-black-intense-lattafa_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Lattafa/musamam-black-intense,6 days ago,5.5,40,Clone
Prada,L'Homme,75385,https://media.parfumo.com/perfumes/47/4703b1-l-homme-prada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Prada/L_Homme,6 days ago,5.5,58,Designer
Tom Ford,Soleil Neige EAU DE PARFUM,131680,https://media.parfumo.com/perfumes/f4/f462fe_soleil-neige-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/soleil-neige,3 days ago,5.5,463,Private Blend
Valentino,Valentino Donna Born In Roma EAU DE PARFUM,129696,https://media.parfumo.com/perfumes/a0/a06820-valentino-donna-born-in-roma-eau-de-parfum-valentino_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Valentino/Valentino_Donna_Born_In_Roma,6 days ago,5.5,98,Designer
Mancera,Red Tobacco,97793,https://media.parfumo.com/perfumes/17/17bdf4-red-tobacco-mancera_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Mancera/Red_Tobacco,6 days ago,5.5,75,Niche
Gisada,Ambassador for Men,133036,https://media.parfumo.com/perfumes/85/85fcdf-ambassador-for-men-gisada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Gisada/ambassador-for-men,3 days ago,5.5,70,Designer/Niche
Rue Broca,Théorème pour Homme,157222,https://media.parfumo.com/perfumes/3b/3be567-theoreme-pour-homme-rue-broca_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/rue-broca/theoreme-pour-homme,6 days ago,5.5,18,Clone
Dior,Sauvage Elixir,151923,https://media.parfumo.com/perfumes/32/322a8e-sauvage-elixir-dior_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dior/sauvage-elixir,5 days ago,5.5,125,Designer
Prada,Luna Rossa Carbon,84732,https://media.parfumo.com/perfumes/40/40b85a-luna-rossa-carbon-prada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Carbon,20 hours ago,5.5,50,Designer
Maison Crivelli,Oud Maracujá,204846,https://media.parfumo.com/perfumes/e7/e71f94-oud-maracuja-maison-crivelli_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Crivelli/oud-maracuja,6 days ago,5.5,318,Niche
Initio,Atomic Rose EAU DE PARFUM,133033,https://media.parfumo.com/perfumes/af/af00fc-atomic-rose-eau-de-parfum-initio_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Initio/atomic-rose-eau-de-parfum,6 days ago,5,250,Niche
Valentino,Valentino Uomo Born In Roma Intense,196998,https://media.parfumo.com/perfumes/a4/a4fd72-valentino-uomo-born-in-roma-intense-valentino_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-born-in-roma-intense,5 days ago,5,81,Designer
Yves Saint Laurent,Y Le Parfum (2025),304354,https://media.parfumo.com/perfumes/4c/4c0a38_y-le-parfum-2025-yves-saint-laurent_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/y-le-parfum-2025,6 days ago,5,88,Designer
Versace,Blue Jeans,131,https://media.parfumo.com/perfumes/53/53f1cc-blue-jeans-versace_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Versace/Blue_Jeans,6 days ago,5,17,Designer
Gisada,Gold,359140,https://media.parfumo.com/perfumes/eb/eb138c_gold-gisada_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Gisada/gold,3 days ago,5,101,Designer/Niche
Rayhaan,Terra,359176,https://media.parfumo.com/perfumes/ed/ed10bc_terra-rayhaan_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/rayhaan/terra,6 days ago,5,45,Clone
Davidoff,Cool Water EAU DE TOILETTE,84,https://media.parfumo.com/perfumes/a5/a56584-cool-water-eau-de-toilette-davidoff_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Davidoff/Cool_Water_Eau_de_Toilette,5 days ago,5,17,Designer
Mancera,Intense Cedrat Boise,156805,https://media.parfumo.com/perfumes/f9/f9d16d-intense-cedrat-boise-mancera_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Mancera/intense-cedrat-boise,5 days ago,5,63,Niche
Tom Ford,Neroli Portofino EAU DE PARFUM,3838,https://media.parfumo.com/perfumes/5c/5ccfe2-neroli-portofino-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Neroli_Portofino_Eau_de_Parfum,3 days ago,5,200,Private Blend
Goldfield & Banks,Pacific Rock Moss,81632,https://media.parfumo.com/perfumes/63/63b92e-pacific-rock-moss-goldfield-banks_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Goldfield__Banks/Pacific_Rock_Moss,6 days ago,5,126,Niche
French Avenue,Feu,316185,https://media.parfumo.com/perfumes/88/886bbb_vulcan-feu-french-avenue_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/french-avenue/feu,6 days ago,5,26,Clone
Giorgio Armani,Emporio Armani - Stronger With You,89952,https://media.parfumo.com/perfumes/7d/7dd20c-emporio-armani-stronger-with-you-giorgio-armani_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Giorgio_Armani/Emporio_Armani_Stronger_With_You,6 days ago,5,57,
Yves Saint Laurent,Y EAU DE PARFUM,113427,https://media.parfumo.com/perfumes/0b/0bf107-y-eau-de-parfum-yves-saint-laurent_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Y_Eau_de_Parfum,6 days ago,5,53,Designer
Al Haramain,Haramain Amber Oud Dubai Night,261283,https://media.parfumo.com/perfumes/3d/3d7697-amber-oud-dubai-night-al-haramain_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Al_Haramain/haramain-amber-oud-dubai-night,6 days ago,4.5,47,Clone
Burberry,Hero EAU DE PARFUM,178594,https://media.parfumo.com/perfumes/c2/c240cd-hero-eau-de-parfum-burberry_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Burberry/hero-eau-de-parfum,3 days ago,4.5,48,Designer
Jo Malone,Silver Birch & Lavender,136877,https://media.parfumo.com/perfumes/bf/bfbdf9-silver-birch-lavender-jo-malone_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Jo_Malone/silver-birch-amp-lavender,3 days ago,4.5,100,Niche
Rayhaan,Wood Noir,263725,https://media.parfumo.com/perfumes/2d/2d546a-wood-noir-rayhaan_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/rayhaan/wood-noir,6 days ago,4.5,33,Clone
