Brand,Name,PID,Image URL,Page URL,Time Rated,Rating,Price,Market Segment
Kilian,Angels' Share EAU DE PARFUM,142773,https://media.parfumo.com/perfumes/98/98e964-angels-share-kilian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Kilian/angels-share-eau-de-parfum,1 month ago,9,204,Niche
Parfums de Marly,Oajan,33851,https://media.parfumo.com/perfumes/e7/e7b793-oajan-parfums-de-marly_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Royal_Essence_Oajan,2 months ago,8,172,Niche
Xerjoff,Naxos,58692,https://media.parfumo.com/perfumes/87/87c77f_naxos-xerjoff_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Xerjoff/naxos,2 hours ago,8.5,134,Niche
Tom Ford,Tobacco Vanille EAU DE PARFUM,3842,https://media.parfumo.com/perfumes/fb/fbeede-tobacco-vanille-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Tobacco_Vanille_Eau_de_Parfum,2 months ago,8.5,216,Designer
Kilian,Angels' Share Paradis,299857,https://media.parfumo.com/perfumes/56/5639e4-angels-share-paradis-kilian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Kilian/angels-share-paradis,2 months ago,8.5,285,Niche
Hugo Boss,Boss Bottled Absolu,271114,https://media.parfumo.com/perfumes/94/941e60-boss-bottled-absolu-hugo-boss_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Hugo_Boss/boss-bottled-absolu,15 days ago,8.5,68,Designer
Rayhaan,Pacific Aura,336073,https://media.parfumo.com/perfumes/e3/e3592d_pacific-aura-rayhaan_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/rayhaan/pacific-aura,2 hours ago,8.5,35,Dupe
Tom Ford,Lost Cherry EAU DE PARFUM,115898,https://media.parfumo.com/perfumes/cc/ccee25-lost-cherry-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Lost_Cherry,2 months ago,8,269,Designer
Maison Francis Kurkdjian,Grand Soir EAU DE PARFUM,76321,https://media.parfumo.com/perfumes/9a/9a8cb2-grand-soir-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/grand-soir-eau-de-parfum,2 months ago,8.5,151,Niche
Zimaya,Sharaf Blend,228269,https://media.parfumo.com/perfumes/6a/6a7478-sharaf-blend-zimaya_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/zimaya/sharaf-blend,1 day ago,7,25,Dupe
